Randomized Hill Climbing,,
ITERATIONS,BEST PERFORMANCE,TIME
500,65,0.189
1000,65,0.251
1500,65,0.335
2000,65,0.38
2500,65,0.469
3000,65,0.634
3500,65,0.67
4000,65,0.73
4500,65,0.791
5000,65,0.866
5500,65,1.077
6000,65,1.165
6500,65,1.212
7000,65,1.253
7500,65,1.317
8000,65,1.402
8500,65,1.444
9000,65,1.496
9500,65,1.534
10000,65,1.621
10500,65,1.671
11000,65,1.704
11500,65,1.733
12000,65,1.793
12500,65,1.846
13000,65,1.881
13500,65,1.909
14000,65,1.937
14500,65,1.98
15000,65,2.024
15500,65,2.072
16000,65,2.124
16500,65,2.153
17000,65,2.181
17500,65,2.213
18000,65,2.252
18500,65,2.314
19000,65,2.36
19500,65,2.388
20000,65,2.418
,,
Simulated Annealing,,
ITERATIONS,BEST PERFORMANCE,TIME
500,68,0
1000,68,0.001
1500,72,0.002
2000,72,0.002
2500,74,0.002
3000,74,0.003
3500,74,0.003
4000,76,0.003
4500,76,0.004
5000,76,0.004
5500,76,0.005
6000,76,0.005
6500,76,0.006
7000,76,0.006
7500,76,0.007
8000,76,0.007
8500,78,0.008
9000,79,0.009
9500,79,0.009
10000,79,0.01
10500,79,0.01
11000,79,0.011
11500,79,0.011
12000,79,0.012
12500,79,0.012
13000,79,0.013
13500,79,0.013
14000,79,0.014
14500,79,0.014
15000,79,0.015
15500,79,0.015
16000,79,0.016
16500,79,0.016
17000,79,0.017
17500,79,0.017
18000,79,0.017
18500,79,0.018
19000,79,0.018
19500,79,0.019
20000,79,0.019
,,
Genetic Algorithm,,
ITERATIONS,BEST PERFORMANCE,TIME
500,66,0.092
1000,69,0.145
1500,75,0.179
2000,75,0.212
2500,75,0.244
3000,73,0.278
3500,75,0.315
4000,75,0.37
4500,75,0.417
5000,75,0.447
5500,75,0.475
6000,75,0.501
6500,73,0.54
7000,75,0.585
7500,75,0.63
8000,75,0.664
8500,75,0.691
9000,75,0.718
9500,75,0.746
10000,73,0.791
10500,75,0.839
11000,75,0.875
11500,75,0.905
12000,75,0.931
12500,75,0.961
13000,75,1.004
13500,75,1.051
14000,75,1.084
14500,75,1.111
15000,75,1.139
15500,74,1.165
16000,75,1.204
16500,75,1.246
17000,75,1.285
17500,76,1.312
18000,76,1.339
18500,76,1.367
19000,76,1.397
19500,76,1.428
20000,76,1.469
,,
MIMIC,,
ITERATIONS,BEST PERFORMANCE,TIME
500,73,1.452
1000,75,2.808
1500,75,4.288
2000,75,5.69
2500,75,7.001
3000,75,8.22
3500,75,9.433
4000,75,10.708
4500,75,11.951
5000,75,13.129
5500,75,14.407
6000,75,15.631
6500,75,16.833
7000,75,18.208
7500,75,19.52
8000,75,20.978
8500,75,22.249
9000,75,23.514
9500,75,24.727
10000,75,25.951
10500,75,27.48
11000,75,28.721
11500,75,29.948
12000,75,31.21
12500,75,32.438
13000,75,33.634
13500,75,34.901
14000,75,36.196
14500,77,37.482
15000,77,38.885
15500,77,40.278
16000,77,41.759
16500,77,43.192
17000,77,44.512
17500,77,45.954
18000,77,47.321
18500,77,48.554
19000,77,49.758
19500,77,51.005
20000,77,52.342
