Randomized Hill Climbing
ITERATIONS,BEST PERFORMANCE,TIME
500,80.0,0.063
1000,170.0,0.098
1500,200.0,0.125
2000,200.0,0.137
2500,200.0,0.146
3000,200.0,0.157
3500,200.0,0.165
4000,200.0,0.186
4500,200.0,0.196
5000,200.0,0.208
5500,200.0,0.300
6000,200.0,0.358
6500,200.0,0.367
7000,200.0,0.376
7500,200.0,0.383
8000,200.0,0.395
8500,200.0,0.402
9000,200.0,0.421
9500,200.0,0.449
10000,200.0,0.480
10500,200.0,0.530
11000,200.0,0.561
11500,200.0,0.592
12000,200.0,0.623
12500,200.0,0.638
13000,200.0,0.660
13500,200.0,0.672
14000,200.0,0.697
14500,200.0,0.720
15000,200.0,0.751
15500,200.0,0.767
16000,200.0,0.787
16500,200.0,0.801
17000,200.0,0.819
17500,200.0,0.837
18000,200.0,0.850
18500,200.0,0.878
19000,200.0,0.896
19500,200.0,0.911
20000,200.0,0.926

Simulated Annealing
ITERATIONS,BEST PERFORMANCE,TIME
500,101.0,0.088
1000,200.0,0.154
1500,200.0,0.253
2000,200.0,0.303
2500,200.0,0.357
3000,200.0,0.418
3500,200.0,0.496
4000,200.0,0.679
4500,200.0,0.724
5000,200.0,0.809
5500,200.0,0.855
6000,200.0,0.902
6500,200.0,0.945
7000,200.0,0.987
7500,200.0,1.028
8000,200.0,1.063
8500,200.0,1.103
9000,200.0,1.165
9500,200.0,1.223
10000,200.0,1.260
10500,200.0,1.296
11000,200.0,1.343
11500,200.0,1.391
12000,200.0,1.427
12500,200.0,1.467
13000,200.0,1.495
13500,200.0,1.527
14000,200.0,1.561
14500,200.0,1.589
15000,200.0,1.616
15500,200.0,1.640
16000,200.0,1.664
16500,200.0,1.689
17000,200.0,1.711
17500,200.0,1.735
18000,200.0,1.754
18500,200.0,1.779
19000,200.0,1.804
19500,200.0,1.828
20000,200.0,1.852

Genetic Algorithm
ITERATIONS,BEST PERFORMANCE,TIME
500,17.0,0.179
1000,28.0,0.243
1500,29.0,0.307
2000,29.0,0.367
2500,33.0,0.492
3000,33.0,0.559
3500,35.0,0.626
4000,35.0,0.694
4500,35.0,0.811
5000,36.0,0.859
5500,37.0,0.905
6000,39.0,0.961
6500,39.0,1.005
7000,46.0,1.088
7500,48.0,1.149
8000,49.0,1.194
8500,49.0,1.239
9000,49.0,1.288
9500,49.0,1.370
10000,49.0,1.434
10500,50.0,1.493
11000,51.0,1.569
11500,51.0,1.631
12000,51.0,1.677
12500,53.0,1.744
13000,53.0,1.817
13500,56.0,1.865
14000,56.0,1.912
14500,61.0,1.985
15000,66.0,2.064
15500,67.0,2.111
16000,67.0,2.157
16500,69.0,2.234
17000,69.0,2.318
17500,71.0,2.367
18000,77.0,2.414
18500,84.0,2.499
19000,84.0,2.572
19500,88.0,2.618
20000,89.0,2.666

MIMIC
ITERATIONS,BEST PERFORMANCE,TIME
500,59.0,11.522
1000,105.0,21.942
1500,120.0,32.554
2000,133.0,42.375
2500,147.0,50.070
3000,165.0,58.288
3500,183.0,65.733
4000,186.0,74.354
4500,196.0,82.599
5000,200.0,89.854
5500,200.0,97.488
6000,200.0,104.882
6500,200.0,112.213
7000,200.0,120.641
7500,200.0,127.871
8000,200.0,134.677
8500,200.0,141.893
9000,200.0,148.745
9500,200.0,155.838
10000,200.0,163.265
10500,200.0,170.717
11000,200.0,179.298
11500,200.0,187.959
12000,200.0,195.988
12500,200.0,204.483
13000,200.0,213.169
13500,200.0,221.235
14000,200.0,228.246
14500,200.0,235.358
15000,200.0,243.628
15500,200.0,251.403
16000,200.0,259.212
16500,200.0,267.752
17000,200.0,275.272
17500,200.0,282.379
18000,200.0,290.373
18500,200.0,298.948
19000,200.0,307.769
19500,200.0,316.143
20000,200.0,325.389

