Randomized Hill Climbing
ITERATIONS,BEST PERFORMANCE,TIME
500,2678.5800538834283,0.008
1000,2678.5800538834283,0.011
1500,2678.5800538834283,0.014
2000,2678.5800538834283,0.016
2500,2678.5800538834283,0.017
3000,2678.5800538834283,0.019
3500,2678.5800538834283,0.022
4000,2678.5800538834283,0.024
4500,2678.5800538834283,0.027
5000,2678.5800538834283,0.030
5500,2678.5800538834283,0.033
6000,2678.5800538834283,0.037
6500,2678.5800538834283,0.044
7000,2678.5800538834283,0.048
7500,2678.5800538834283,0.056
8000,2678.5800538834283,0.060
8500,2678.5800538834283,0.064
9000,2678.5800538834283,0.072
9500,2678.5800538834283,0.077
10000,2678.5800538834283,0.084
10500,2678.5800538834283,0.097
11000,2678.5800538834283,0.102
11500,2678.5800538834283,0.107
12000,2678.5800538834283,0.113
12500,2678.5800538834283,0.118
13000,2678.5800538834283,0.136
13500,2678.5800538834283,0.141
14000,2678.5800538834283,0.143
14500,2678.5800538834283,0.145
15000,2678.5800538834283,0.152
15500,2678.5800538834283,0.155
16000,2678.5800538834283,0.157
16500,2678.5800538834283,0.160
17000,2678.5800538834283,0.212
17500,2678.5800538834283,0.220
18000,2678.5800538834283,0.238
18500,2678.5800538834283,0.246
19000,2678.5800538834283,0.266
19500,2678.5800538834283,0.273
20000,2678.5800538834283,0.278

Simulated Annealing
ITERATIONS,BEST PERFORMANCE,TIME
500,2868.46678249715,0.012
1000,2868.46678249715,0.015
1500,2868.46678249715,0.017
2000,2868.46678249715,0.019
2500,2868.46678249715,0.026
3000,2868.46678249715,0.030
3500,2868.46678249715,0.036
4000,2868.46678249715,0.042
4500,2868.46678249715,0.050
5000,2868.46678249715,0.061
5500,2868.46678249715,0.115
6000,2868.46678249715,0.129
6500,2868.46678249715,0.147
7000,2868.46678249715,0.163
7500,2868.46678249715,0.175
8000,2868.46678249715,0.209
8500,2868.46678249715,0.234
9000,2868.46678249715,0.252
9500,2868.46678249715,0.267
10000,2868.46678249715,0.283
10500,2868.46678249715,0.298
11000,2868.46678249715,0.317
11500,2868.46678249715,0.341
12000,2868.46678249715,0.376
12500,2868.46678249715,0.401
13000,2868.46678249715,0.421
13500,2868.46678249715,0.442
14000,2868.46678249715,0.466
14500,2868.46678249715,0.491
15000,2868.46678249715,0.513
15500,2868.46678249715,0.541
16000,2868.46678249715,0.565
16500,2868.46678249715,0.593
17000,2868.46678249715,0.626
17500,2868.46678249715,0.649
18000,2868.46678249715,0.675
18500,2868.46678249715,0.696
19000,2868.46678249715,0.716
19500,2868.46678249715,0.738
20000,2868.46678249715,0.764

Genetic Algorithm
ITERATIONS,BEST PERFORMANCE,TIME
500,2397.31628883782,0.060
1000,1925.5763724486644,0.136
1500,2095.542274766526,0.255
2000,1870.9740573110455,0.486
2500,2361.547269804933,0.637
3000,2484.650218105727,0.792
3500,2214.584349980455,1.014
4000,2329.2200651139597,1.179
4500,2529.830881537235,1.344
5000,2307.513984427985,1.498
5500,2602.552428328193,1.683
6000,2515.871973498129,1.875
6500,2505.841061368846,2.096
7000,1631.045964027458,2.418
7500,2426.314936802302,2.743
8000,1669.448461243758,3.009
8500,2533.236882407379,3.291
9000,2199.863710179383,3.600
9500,2615.828294210749,3.936
10000,2602.5862736336762,4.298
10500,2636.597260762402,4.681
11000,1956.4431578226236,5.217
11500,1424.442840379469,5.769
12000,2574.1885766436885,6.218
12500,2152.0346879266217,6.659
13000,1964.343460933965,7.118
13500,2602.4532740988616,7.590
14000,1926.7583193911707,8.059
14500,2395.6366232428077,8.597
15000,2577.5966367871097,9.309
15500,2150.155351167174,9.863
16000,2356.2430497050523,10.377
16500,2693.7436768631424,10.942
17000,2569.185875129433,11.495
17500,2602.234056736042,12.085
18000,2640.929698046868,12.694
18500,2411.2616252892017,13.314
19000,2829.2943877980206,13.994
19500,1715.0135447207256,14.628
20000,1719.9529589169538,15.341

MIMIC
ITERATIONS,BEST PERFORMANCE,TIME
500,3334.732428681193,1.262
1000,3339.9275691077205,2.984
1500,3336.0359501469334,5.488
2000,3334.732428681193,9.272
2500,3334.732428681193,14.231
3000,3336.5399806703813,20.180
3500,3336.287965408657,25.846
4000,3354.0261789905453,32.301
4500,3354.0261789905453,39.961
5000,3354.2781942522697,49.950
5500,3354.2781942522697,60.270
6000,3354.2781942522697,75.668
6500,3354.2781942522697,94.155
7000,3354.2781942522697,108.942
7500,3354.2781942522697,122.070
8000,3354.2781942522697,136.081
8500,3354.2781942522697,151.357
9000,3354.2781942522697,165.927
9500,3354.2781942522697,180.817
10000,3354.2781942522697,198.290
10500,3354.2781942522697,215.823
11000,3354.2781942522697,234.058
11500,3354.2781942522697,253.511
12000,3354.2781942522697,274.318
12500,3354.2781942522697,296.126
13000,3354.2781942522697,319.165
13500,3354.2781942522697,344.075
14000,3354.2781942522697,366.732
14500,3354.2781942522697,418.271
15000,3354.2781942522697,448.831
15500,3354.2781942522697,482.794
16000,3354.2781942522697,513.276
16500,3354.2781942522697,542.122
17000,3354.2781942522697,568.808
17500,3354.2781942522697,597.121
18000,3359.7249657458788,629.622
18500,3354.2781942522697,661.085
19000,3354.2781942522697,694.158
19500,3354.2781942522697,729.244
20000,3354.2781942522697,762.455

