Randomized Hill Climbing
ITERATIONS,BEST PERFORMANCE,TIME
500,984.0,0.038
1000,984.0,0.049
1500,984.0,0.056
2000,984.0,0.061
2500,984.0,0.069
3000,984.0,0.078
3500,984.0,0.087
4000,984.0,0.095
4500,984.0,0.100
5000,984.0,0.108
5500,984.0,0.115
6000,984.0,0.152
6500,984.0,0.160
7000,984.0,0.166
7500,984.0,0.174
8000,984.0,0.182
8500,984.0,0.191
9000,984.0,0.198
9500,984.0,0.206
10000,984.0,0.215
10500,984.0,0.225
11000,984.0,0.236
11500,984.0,0.248
12000,984.0,0.257
12500,984.0,0.266
13000,984.0,0.276
13500,984.0,0.289
14000,984.0,0.303
14500,984.0,0.312
15000,984.0,0.318
15500,984.0,0.324
16000,984.0,0.330
16500,984.0,0.334
17000,984.0,0.339
17500,984.0,0.344
18000,984.0,0.349
18500,984.0,0.354
19000,984.0,0.361
19500,984.0,0.367
20000,984.0,0.371

Simulated Annealing
ITERATIONS,BEST PERFORMANCE,TIME
500,984.0,0.009
1000,984.0,0.016
1500,984.0,0.023
2000,984.0,0.028
2500,984.0,0.033
3000,984.0,0.038
3500,984.0,0.042
4000,984.0,0.047
4500,984.0,0.053
5000,984.0,0.062
5500,984.0,0.068
6000,984.0,0.077
6500,984.0,0.089
7000,984.0,0.099
7500,984.0,0.126
8000,984.0,0.141
8500,984.0,0.156
9000,984.0,0.167
9500,984.0,0.177
10000,984.0,0.183
10500,984.0,0.192
11000,984.0,0.199
11500,984.0,0.205
12000,984.0,0.212
12500,984.0,0.217
13000,984.0,0.222
13500,984.0,0.227
14000,984.0,0.232
14500,984.0,0.237
15000,984.0,0.243
15500,984.0,0.248
16000,984.0,0.255
16500,984.0,0.259
17000,984.0,0.266
17500,984.0,0.276
18000,984.0,0.284
18500,984.0,0.290
19000,984.0,0.299
19500,984.0,0.306
20000,984.0,0.313

Genetic Algorithm
ITERATIONS,BEST PERFORMANCE,TIME
500,1400.0,0.944
1000,1400.0,1.515
1500,1400.0,2.108
2000,1400.0,2.668
2500,1400.0,3.310
3000,1400.0,3.826
3500,1400.0,4.305
4000,1400.0,4.730
4500,1400.0,5.132
5000,1400.0,5.560
5500,1400.0,6.006
6000,1400.0,6.413
6500,1400.0,6.907
7000,1400.0,7.321
7500,1400.0,7.762
8000,1400.0,8.175
8500,1400.0,8.601
9000,1400.0,9.014
9500,1400.0,9.435
10000,1400.0,9.850
10500,1400.0,10.240
11000,1400.0,10.705
11500,1400.0,11.184
12000,1400.0,11.632
12500,1400.0,12.121
13000,1400.0,12.554
13500,1400.0,13.031
14000,1400.0,13.450
14500,1400.0,13.859
15000,1400.0,14.389
15500,1400.0,15.146
16000,1400.0,15.982
16500,1400.0,16.696
17000,1400.0,17.415
17500,1400.0,18.092
18000,1400.0,18.774
18500,1400.0,19.539
19000,1400.0,20.182
19500,1400.0,20.652
20000,1400.0,21.135

MIMIC
ITERATIONS,BEST PERFORMANCE,TIME
500,1400.0,1.904
1000,1400.0,3.520
1500,1400.0,5.010
2000,1400.0,6.485
2500,1400.0,7.978
3000,1400.0,9.539
3500,1400.0,11.242
4000,1400.0,12.713
4500,1400.0,14.177
5000,1400.0,15.678
5500,1400.0,17.195
6000,1400.0,18.697
6500,1400.0,20.148
7000,1400.0,21.774
7500,1400.0,23.249
8000,1400.0,24.730
8500,1400.0,26.200
9000,1400.0,27.679
9500,1400.0,29.108
10000,1400.0,30.565
10500,1400.0,32.166
11000,1400.0,33.643
11500,1400.0,35.116
12000,1400.0,36.565
12500,1400.0,38.020
13000,1400.0,39.492
13500,1400.0,40.998
14000,1400.0,42.448
14500,1400.0,43.894
15000,1400.0,45.347
15500,1400.0,46.833
16000,1400.0,48.287
16500,1400.0,49.749
17000,1400.0,51.648
17500,1400.0,53.411
18000,1400.0,54.911
18500,1400.0,56.464
19000,1400.0,58.281
19500,1400.0,59.801
20000,1400.0,61.326

