Randomized Hill Climbing,,
ITERATIONS,BEST PERFORMANCE,TIME
500,0.076367777,0.093
1000,0.091213181,0.168
1500,0.096763675,0.23
2000,0.099987449,0.269
2500,0.102791241,0.312
3000,0.102921883,0.34
3500,0.102921883,0.36
4000,0.103715783,0.377
4500,0.104473116,0.394
5000,0.105124751,0.41
5500,0.105124751,0.46
6000,0.105141696,0.518
6500,0.105141696,0.546
7000,0.105141696,0.573
7500,0.105141696,0.592
8000,0.105141696,0.615
8500,0.105141696,0.637
9000,0.105141696,0.656
9500,0.105141696,0.674
10000,0.105141696,0.712
10500,0.105141696,0.786
11000,0.105141696,0.824
11500,0.105141696,0.869
12000,0.105141696,0.922
12500,0.105141696,0.954
13000,0.105141696,0.987
13500,0.105141696,1.006
14000,0.105141696,1.025
14500,0.105141696,1.049
15000,0.105141696,1.07
15500,0.105141696,1.157
16000,0.105141696,1.238
16500,0.105141696,1.267
17000,0.105141696,1.295
17500,0.105141696,1.325
18000,0.105141696,1.352
18500,0.105141696,1.405
19000,0.105141696,1.457
19500,0.105141696,1.497
20000,0.105141696,1.539
,,
Simulated Annealing,,
ITERATIONS,BEST PERFORMANCE,TIME
500,0.066173868,0.002
1000,0.084554252,0.003
1500,0.08758199,0.004
2000,0.090371868,0.008
2500,0.095059151,0.009
3000,0.096897485,0.014
3500,0.101369527,0.016
4000,0.101369527,0.017
4500,0.104151737,0.019
5000,0.109308363,0.02
5500,0.109308363,0.021
6000,0.109308363,0.023
6500,0.109308363,0.024
7000,0.110027665,0.026
7500,0.110027665,0.027
8000,0.110027665,0.028
8500,0.110027665,0.029
9000,0.110027665,0.031
9500,0.110027665,0.034
10000,0.110027665,0.035
10500,0.110027665,0.036
11000,0.110036158,0.037
11500,0.110036158,0.039
12000,0.110036158,0.04
12500,0.110036158,0.042
13000,0.110036158,0.043
13500,0.110036158,0.045
14000,0.110036158,0.046
14500,0.110036158,0.048
15000,0.110036158,0.049
15500,0.110036158,0.053
16000,0.110036158,0.057
16500,0.110036158,0.059
17000,0.110036158,0.062
17500,0.110036158,0.066
18000,0.110036158,0.069
18500,0.110036158,0.071
19000,0.110036158,0.073
19500,0.110036158,0.075
20000,0.110036158,0.077
,,
Genetic Algorithm,,
ITERATIONS,BEST PERFORMANCE,TIME
500,0.144109611,1.196
1000,0.140356405,2.078
1500,0.141609185,2.865
2000,0.144087966,3.733
2500,0.14116435,4.611
3000,0.143947146,5.422
3500,0.144947943,6.255
4000,0.144255151,7.005
4500,0.134230977,7.802
5000,0.142930785,8.605
5500,0.140351482,9.33
6000,0.142751602,10.128
6500,0.139223122,11.012
7000,0.142719468,11.865
7500,0.145057644,12.685
8000,0.145965657,13.461
8500,0.148210427,14.195
9000,0.145471757,14.99
9500,0.146340073,15.697
10000,0.150147371,16.428
10500,0.144890942,17.168
11000,0.146909828,17.898
11500,0.143868475,18.656
12000,0.139498645,19.373
12500,0.145650637,20.121
13000,0.141944224,20.965
13500,0.147616915,21.786
14000,0.140618154,22.613
14500,0.141882883,23.447
15000,0.147374658,24.222
15500,0.144162945,25.03
16000,0.143128702,25.882
16500,0.142710433,26.745
17000,0.143770215,27.568
17500,0.147764384,28.382
18000,0.144348193,29.163
18500,0.11334873,29.931
19000,0.145749017,30.716
19500,0.144284519,31.455
20000,0.144909526,32.204
,,
MIMIC,,
ITERATIONS,BEST PERFORMANCE,TIME
500,0.088332068,1611.1
1000,0.087749783,3028.267
1500,0.096071729,4270.013
2000,0.101265556,5510.733
2500,0.100935202,6754.676
3000,0.103310012,7994.925
3500,0.102038006,9307.714
4000,0.104906951,10697.915
4500,0.107137548,12095.71
5000,0.110237303,13415.654
5500,0.110597838,14909.281
6000,0.109319912,16229.835
6500,0.111700694,17474.097
7000,0.119175523,18730.167
7500,0.117275965,19986.499
8000,0.117975166,21228.14
8500,0.117702184,22471.707
9000,0.116211495,23712.354
9500,0.119900526,24955.48
10000,0.11926766,26197.386
10500,0.118005359,27436.449
11000,0.119623634,28677.315
11500,0.119871906,29916.308
12000,0.117263611,31155.448
12500,0.118891294,32394.453
13000,0.119679104,33635.066
13500,0.12008733,34875.037
14000,0.12122019,36114.446
14500,0.118152397,37353.651
15000,0.122353113,38592.596
15500,0.117534606,39832.22
16000,0.119802123,41071.676
16500,0.115383811,42309.928
17000,0.119890684,43549.72
17500,0.119607427,44788.678
18000,0.117905662,46028.418
18500,0.11877171,47266.757
19000,0.118334771,48507.206
19500,0.121037184,49746.451
20000,0.121221733,50985.884
