'volatile acidity',chlorides,'free sulfur dioxide',density,sulphates,alcohol,Cluster,quality
0.27,0.045,45,1.001,0.45,8.8,cluster5,6
0.3,0.049,14,0.994,0.49,9.5,cluster5,6
0.28,0.05,30,0.9951,0.44,10.1,cluster5,6
0.23,0.058,47,0.9956,0.4,9.9,cluster5,6
0.23,0.058,47,0.9956,0.4,9.9,cluster5,6
0.28,0.05,30,0.9951,0.44,10.1,cluster5,6
0.32,0.045,30,0.9949,0.47,9.6,cluster5,6
0.27,0.045,45,1.001,0.45,8.8,cluster5,6
0.3,0.049,14,0.994,0.49,9.5,cluster5,6
0.22,0.044,28,0.9938,0.45,11,cluster4,6
0.27,0.033,11,0.9908,0.56,12,cluster1,5
0.23,0.035,17,0.9947,0.53,9.7,cluster2,5
0.18,0.04,16,0.992,0.63,10.8,cluster1,5
0.16,0.044,48,0.9912,0.52,12.4,cluster3,7
0.42,0.04,41,1.0002,0.67,9.7,cluster2,5
0.17,0.032,28,0.9914,0.55,11.4,cluster3,7
0.48,0.046,30,0.9928,0.36,9.6,cluster5,6
0.66,0.029,29,0.9892,0.39,12.8,cluster4,8
0.34,0.033,17,0.9917,0.53,11.3,cluster4,6
0.31,0.044,34,0.9955,0.5,9.5,cluster2,5
0.66,0.029,29,0.9892,0.39,12.8,cluster4,8
0.31,0.038,19,0.9912,0.35,11,cluster3,7
0.26,0.049,41,0.993,0.48,10.5,cluster1,8
0.67,0.074,25,0.9937,0.51,9.3,cluster0,5
0.27,0.052,16,0.9951,0.47,10,cluster5,6
0.25,0.046,56,0.9955,0.5,10.4,cluster5,6
0.24,0.052,35,0.993,0.44,10,cluster5,6
0.28,0.051,32,0.9961,0.53,10.5,cluster5,6
0.27,0.047,17,0.9914,0.49,11.6,cluster4,6
0.32,0.033,37,0.9906,0.71,12.3,cluster3,7
0.24,0.044,20,0.9974,0.53,10,cluster5,6
0.14,0.042,7,0.9934,0.4,10.2,cluster5,6
0.25,0.05,31,0.992,0.44,10.8,cluster4,6
0.12,0.045,43,0.9939,0.51,9,cluster5,6
0.27,0.044,22,0.9962,0.37,10.2,cluster1,5
0.28,0.08,21,0.9905,0.42,12.8,cluster1,5
0.39,0.051,25,0.9934,0.35,10,cluster0,5
0.33,0.053,38,0.9906,0.28,11.2,cluster4,6
0.24,0.057,45,0.9999,0.36,8.6,cluster2,5
0.24,0.057,45,0.9999,0.36,8.6,cluster2,5
0.23,0.172,63,0.9937,0.36,9.4,cluster5,6
0.24,0.173,63,0.9937,0.34,9.4,cluster5,6
0.31,0.069,28,0.9954,0.46,9.8,cluster5,6
0.24,0.057,33,0.9934,0.56,9.5,cluster5,6
0.23,0.06,33,0.9934,0.56,9.5,cluster5,6
0.18,0.058,38,0.9931,0.53,10,cluster3,7
0.45,0.063,63,0.994,0.52,9.8,cluster0,4
0.46,0.066,62,0.9939,0.52,9.8,cluster0,5
0.31,0.069,28,0.9954,0.46,9.8,cluster5,6
0.19,0.067,32,0.995,0.48,9.8,cluster2,5
0.19,0.062,31,0.9917,0.44,11.7,cluster4,6
0.25,0.068,39,0.9914,0.58,11,cluster3,7
0.16,0.057,21,0.991,0.46,10.9,cluster3,7
0.18,0.045,39,0.9911,0.35,10.9,cluster4,6
0.2,0.147,38,0.993,0.38,9.1,cluster5,6
0.25,0.039,29,0.9908,0.52,11,cluster4,6
0.21,0.043,37,0.9962,0.5,9.6,cluster5,6
0.19,0.048,50,0.9972,0.36,8.9,cluster5,6
0.38,0.044,25,0.9931,0.38,10.2,cluster5,6
0.2,0.038,44,0.9926,0.34,9.9,cluster5,6
0.22,0.092,30,0.9951,0.46,8.6,cluster5,6
0.19,0.048,50,0.9972,0.36,8.9,cluster5,6
0.47,0.035,17,0.991,0.34,10.5,cluster1,5
0.38,0.044,25,0.9931,0.38,10.2,cluster5,6
0.24,0.038,31,0.9927,0.46,10.3,cluster5,6
0.35,0.064,29,0.9934,0.54,9.1,cluster2,5
0.26,0.04,27,0.9903,0.49,12.6,cluster3,7
0.25,0.041,81,0.992,0.42,9.8,cluster2,5
0.23,0.046,30,0.9926,0.64,10.7,cluster3,8
0.24,0.05,21,0.9962,0.35,9.5,cluster2,5
0.27,0.056,48,0.9956,0.51,9,cluster5,6
0.3,0.061,50.5,0.9958,0.6,9.5,cluster2,5
0.27,0.063,31,0.9964,0.71,10,cluster2,5
0.23,0.054,9,0.9941,0.49,9.1,cluster5,6
0.23,0.046,30,0.9926,0.64,10.7,cluster3,8
0.24,0.05,21,0.9962,0.35,9.5,cluster2,5
0.18,0.043,31,0.9898,0.37,12.7,cluster3,7
0.32,0.042,20,0.9912,0.65,12,cluster3,7
0.18,0.064,26,0.9961,0.56,9.3,cluster2,5
