Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Sex
-0.002226,-0.003769,0.017462,0.018839,0.006717,-0.018444,-0.016656,-0.034616,M
-0.013905,0.012179,0.002984,0.009037,-0.006988,0.005028,0.004365,-0.002587,M
0.006823,0.001382,0.003193,-0.01347,0.005022,0.006217,0.016566,-0.008573,F
-0.003184,0.009446,-0.011077,0.001481,0.003557,0.002242,-0.000406,-0.023704,M
-0.009777,0.017019,0.002403,0.013553,-0.009065,0.002119,0.005865,-0.00841,I
-0.014641,-0.004877,0.021649,0.003817,-0.005582,0.003459,0.006912,0.012719,I
-0.010992,-0.023913,0.025952,-0.011256,-0.017281,-0.006964,-0.03378,-0.030285,F
0.000941,-0.015609,0.024996,0.00162,0.000574,-0.01102,-0.014829,-0.022536,F
-0.006654,0.000366,0.002812,-0.004135,0.00635,0.007385,0.00326,-0.005486,M
0.002691,-0.008742,0.023737,-0.01046,-0.011483,-0.016028,-0.027654,-0.032994,F
-0.021001,-0.025596,0.021516,-0.01172,-0.005352,-0.015392,0.000155,0.001578,F
-0.002975,0.007375,0.000879,0.002169,0.004881,0.004701,-0.000688,-0.022697,M
-0.005536,0.002912,0.012946,-0.013507,0.003346,0.002874,-0.005347,-0.008302,M
-0.010866,-0.01243,0.002114,-0.009154,0.00545,-0.002192,0.009409,0.003966,F
0.000935,-0.003907,0.026096,-0.002674,-0.004613,0.010086,0.004265,-0.00494,F
-0.000336,-0.004464,0.006561,-0.002928,-0.000817,0.009294,-0.007997,-0.017493,M
-0.00025,0.017417,0.006907,0.004758,-0.015598,0.014874,0.00781,-0.010035,I
-0.002215,0.005001,0.013406,0.005644,0.000705,-0.005286,0.003207,-0.01151,F
0.000546,0.013739,0.003562,0.009821,-0.00506,0.017129,0.00802,-0.016588,M
-0.012726,-0.002792,0.026375,0.001425,0.00213,-0.004351,0.003208,0.010003,M
-0.018121,0.004736,0.000379,0.013768,-0.004671,-0.008962,-0.006367,-0.021673,M
-0.022641,-0.00039,0.01541,0.002564,-0.006677,-0.005124,-0.002895,-0.001506,I
-0.005142,-0.008493,-0.001399,0.001916,0.007728,-0.004639,-0.011909,-0.001473,F
-0.007789,-0.017595,-0.002447,0.002192,0.008323,-0.005656,0.018736,0.007386,F
-0.000944,-0.01721,-0.018009,0.006335,0.007841,-0.004399,0.007928,0.007276,F
